Ada,Aidat,Balkon Durumu,Balkon Metrekare,Balkon SayÄ±sÄ±,Balkon Sayısı,Balkon Tipi,Banyo Metrekare,Banyo SayÄ±sÄ±,Banyo Sayısı,BinanÄ±n Kat SayÄ±sÄ±,BinanÄ±n YaÅŸÄ±,Binanın Kat Sayısı,Binanın Yaşı,BrÃ¼t Metrekare,Brüt Metrekare,BulunduÄŸu Kat,Bulunduğu Kat,EÅŸya Durumu,Eşya Durumu,Fiyat Durumu,GÃ¶rÃ¼ntÃ¼lÃ¼ Gezilebilir mi?,Görüntülü Gezilebilir mi?,IsÄ±tma Tipi,Isıtma Tipi,Kategorisi,Kira Getirisi,Krediye Uygunluk,KullanÄ±m Durumu,Kullanım Durumu,Net Metrekare,Oda SayÄ±sÄ±,Oda Sayısı,Pafta,Parsel,Salon Metrekare,Site Ä°Ã§erisinde,Site İçerisinde,Takas,Tapu Durumu,Tipi,TÃ¼rÃ¼,Türü,WC Metrekare,WC SayÄ±sÄ±,WC Sayısı,YapÄ± Durumu,YapÄ± Tipi,Yapı Durumu,Yapı Tipi,YatÄ±rÄ±ma Uygunluk,Yatırıma Uygunluk,Zemin Etüdü,Ä°lan GÃ¼ncelleme Tarihi,Ä°lan NumarasÄ±,Ä°lan OluÅŸturma Tarihi,Ä°potek Durumu,İlan Güncelleme Tarihi,İlan Numarası,İlan Oluşturma Tarihi,İpotek Durumu,URL,FİYAT,KONUM
,,,,,,,,,1,,,3,0 (Yeni),,60 M2,,Yüksek Giriş,,,Genel Fiyat,,,,Klimalı,Satılık,,Krediye Uygun,,Boş,50 M2,,1+1,,,,,Hayır,Yok,Kat İrtifakı,Daire,,Konut,,,,,,Sıfır,Betonarme,,Bilinmiyor,,,,,,18 Aralık 2023,14402979,15 Aralık 2023,,https://www.emlakjet.com//ilan/firsat-daire-ortaca-karaburun-mahallesinde-11-luks-panjurlu-satilik-daire-14402979/,1.550.000 TL,Muğla - Ortaca - Karaburun Mh.
,,,,,,,,,1,,,3,0 (Yeni),,60 M2,,2.Kat,,,Genel Fiyat,,,,Yerden Isıtma,Satılık,,Krediye Uygun,,Boş,50 M2,,1+1,,,,,Hayır,Yok,Kat İrtifakı,Daire,,Konut,,,,,,Sıfır,Betonarme,,Bilinmiyor,,,,,,18 Aralık 2023,14402976,15 Aralık 2023,,https://www.emlakjet.com//ilan/ortaca-karaburun-mahallesinde-luks-11-asansorlu-havuzlu-satilik-daire-14402976/,1.750.000 TL,Muğla - Ortaca - Karaburun Mh.
,,,,,,,,,1,,,3,0 (Yeni),,60 M2,,Yüksek Giriş,,,Genel Fiyat,,,,Klimalı,Satılık,,Krediye Uygun,,Boş,50 M2,,1+1,,,,,Hayır,Var,Kat İrtifakı,Daire,,Konut,,,,,,Sıfır,Betonarme,,Bilinmiyor,,,,,,18 Aralık 2023,14402975,15 Aralık 2023,,https://www.emlakjet.com//ilan/ortaca-cayli-mahallesinde-11-yatirimlik-oturuma-hazir-satilik-daire-14402975/,1.550.000 TL,Muğla - Ortaca - Çaylı Mh.
,,,,,,,,,1,,,3,1,,90 M2,,Yüksek Giriş,,,Genel Fiyat,,,,Klimalı,Satılık,,Krediye Uygun,,Kiracı Oturuyor,80 M2,,2+1,,,,,Hayır,Yok,Kat İrtifakı,Daire,,Konut,,,,,,İkinci El,Betonarme,,Bilinmiyor,,,,,,18 Aralık 2023,14402964,15 Aralık 2023,,https://www.emlakjet.com//ilan/firsat-daire-ortaca-bahcelievler-mahallesinde-21-yeni-bina-firsat-satilik-daire-14402964/,2.200.000 TL,Muğla - Ortaca - Bahçelievler Mh.
,,,,,,,,,1,,,3,0 (Yeni),,90 M2,,Çatı Katı,,,Genel Fiyat,,,,Klimalı,Satılık,,Krediye Uygun,,Boş,80 M2,,2+1,,,,,Hayır,Var,Kat İrtifakı,Daire,,Konut,,,,,,Sıfır,Betonarme,,Bilinmiyor,,,,,,15 Aralık 2023,14402959,15 Aralık 2023,,https://www.emlakjet.com//ilan/ortaca-cayli-mahallesinde-21-oturuma-hazir-luks-firsat-satilik-daire-14402959/,2.200.000 TL,Muğla - Ortaca - Çaylı Mh.
,,,,,,,,,1,,,4,5-10,,130 M2,,Yüksek Giriş,,,Genel Fiyat,,,,Kombi Doğalgaz,Satılık,,Krediye Uygun Değil,,Boş,116 M2,,3+1,,,,,Evet,Var,,Daire,,Konut,,,,,,,,,Bilinmiyor,,,,,,05 Aralık 2023,14351560,05 Aralık 2023,,https://www.emlakjet.com//ilan/toki-de-uygun-fiyatli-masrafsiz-satilik-daire-31-14351560/,3.600.000 TL,Muğla - Menteşe - Kötekli Mh.
,200 TL,,,,,,,,1,,,2,4,,55 M2,,1.Kat,,Eşyalı,Genel Fiyat,,,,Kombi Doğalgaz,Satılık,,Krediye Uygun,,Boş,50 M2,,1+1,,,,,Hayır,Yok,,Daire,,Konut,,,,,,,,,Bilinmiyor,,,,,,06 Aralık 2023,14341211,02 Aralık 2023,,https://www.emlakjet.com//ilan/la-serra-home-ofis-te-esyali-ara-kat-55-m2-11-luks-daire-14341211/,3.200.000 TL,Muğla - Menteşe - Emirbeyazıt Mh.
,,,,,,,,,2,,,5,0 (Yeni),,140 M2,,2.Kat,,,Genel Fiyat,,,,Klimalı,Satılık,,Krediye Uygun,,Boş,130 M2,,3+1,,,,,Hayır,Var,Kat İrtifakı,Daire,,Konut,,,,,,Sıfır,Betonarme,,Bilinmiyor,,,,,,10 Aralık 2023,14306801,27 Kasım 2023,,https://www.emlakjet.com//ilan/ortaca-cumhuriyet-de-kapali-mutfak-asansorlu-cift-balkonlu-31-satilik-luks-daire-14306801/,2.950.000 TL,Muğla - Ortaca - Cumhuriyet Mh.
,,,,,,,,,2,,,3,0 (Yeni),,100 M2,,2.Kat,,,Genel Fiyat,,,,Klimalı,Satılık,,Krediye Uygun,,Boş,90 M2,,2+1,,,,,Hayır,Var,Kat İrtifakı,Daire,,Konut,,,,,,Sıfır,Betonarme,,Bilinmiyor,,,,,,20 Kasım 2023,14263515,16 Kasım 2023,,https://www.emlakjet.com//ilan/ortaca-cayli-da-arac-takasli-21-luks-ebeveyn-banyolu-daire-14263515/,2.600.000 TL,Muğla - Ortaca - Çaylı Mh.
,,Var,20 M2,,2,Açık Balkon,20 M2,,2,,,3,21 Ve Üzeri,,240 M2,,Müstakil,,Eşyalı,Genel Fiyat,,Evet,,Şömine,Satılık,45000 TL,Krediye Uygun,,Boş,200 M2,,4+1,,,25 M2,,Hayır,Yok,Müstakil Tapulu,Daire,,Konut,20 M2,,3,,,İkinci El,Betonarme,,Yatırıma Uygun,,,,,,22 Aralık 2023,14133782,20 Ekim 2023,Yok,https://www.emlakjet.com//ilan/armutalanda-site-icerisinde-tam-mustakil-240-m2-41-14133782/,14.000.000 TL,Muğla - Marmaris - Armutalan Mh.
,,Var,25 M2,,3,Açık Teras,10 M2,,1,,,4,21 Ve Üzeri,,180 M2,,3.Kat,,Boş,Genel Fiyat,,Evet,,Klimalı,Satılık,25000 TL,Krediye Uygun,,Kiracı Oturuyor,170 M2,,3+1,,,45 M2,,Hayır,Yok,Kat Mülkiyeti,Daire,,Konut,5 M2,,2,,,İkinci El,Betonarme,,Yatırıma Uygun,,,,,,22 Aralık 2023,13772053,19 Ağustos 2023,Yok,https://www.emlakjet.com//ilan/marmaris-merkezi-konumda-sahile-250-metre-mesafede-180-m2-31-cati-dubleks-daire-13772053/,7.250.000 TL,Muğla - Marmaris - Çıldır Mh.
